"","class","tattoos","sleep","smoke","music","shoesize","piercing","residentialpref","number","cannabis","vape","tobacco","heightcm","heightin"
"136","Freshman",0,6.5,"No.","Pop",7,2,"Rural (Small town)",7,FALSE,FALSE,FALSE,160,62.992125984252
"137","Sophomore",0,7,"No.","Pop",9.5,2,"Suburban",3.1415,FALSE,FALSE,FALSE,170.18,67
"138","Senior",0,7,"No.","Classical",6,2,"Suburban",7,FALSE,FALSE,FALSE,167,65.748031496063
"139","Sophomore",0,6,"No.","Other",8.5,0,"Suburban",9,FALSE,FALSE,FALSE,160,62.992125984252
"140","Freshman",0,7,"No.","Other",11,0,"Urban/City",1,FALSE,FALSE,FALSE,175.26,69
"141","Sophomore",0,6,"No.","Other",5.5,2,"Suburban",7,FALSE,FALSE,FALSE,154.94,61
"142","Sophomore",0,9,"No.","Hip hop",7.5,2,"Urban",6,FALSE,FALSE,FALSE,170,66.9291338582677
"143","Senior",0,8,"No.","Other",7,2,"Urban/City",6,FALSE,FALSE,FALSE,162.56,64
"144","Freshman",0,6.2,"No.","Pop",4.5,2,"Suburban",1.45,FALSE,FALSE,FALSE,157.48,62
"145","Junior",0,9,"No.","Indie",8.5,0,"Urban",9,FALSE,FALSE,FALSE,168,66.1417322834646
"146","Sophomore",0,6,"No.","Pop",7.5,2,"Very Rural (Woods/Desert)",5,FALSE,FALSE,FALSE,162.56,64
"147","Sophomore",0,7,"No.","Classical",7,0,"Urban",0,FALSE,FALSE,FALSE,176,69.2913385826772
"148","Sophomore",0,6,"Yes, cannabis.","Indie",7.5,3,"Rural (Small town)",7,TRUE,FALSE,FALSE,164.5,64.763779527559
"149","Freshman",0,8,"No.","Other",5.5,5,"Urban",0,FALSE,FALSE,FALSE,171,67.3228346456693
"150","Sophomore",0,7,"No.","Rock",9,2,"Suburban",4,FALSE,FALSE,FALSE,152.4,60
"151","Sophomore",0,8,"No.","Pop",7.5,2,"Suburban",5,FALSE,FALSE,FALSE,165,64.9606299212598
"152","Senior",0,8,"No.","Classical",11,0,"Urban/City",7,FALSE,FALSE,FALSE,183,72
"153","Junior",0,7.5,"No.","Indie",7.5,5,"Urban",7,FALSE,FALSE,FALSE,172.72,68
"154","Senior",0,7,"No.","Classical",10.5,0,"Urban",7,FALSE,FALSE,FALSE,172.72,68
"155","Junior",0,6.5,"Yes, cannabis.","Rock",12,0,"Urban",5.7,TRUE,FALSE,FALSE,183,72.0472440944882
"156","Sophomore",0,7,"Yes, cannabis.","Country",8,4,"Rural (Small town)",4,TRUE,FALSE,FALSE,160.02,63
"157","Super Senior +",0,5,"No.","Rock",14,0,"Rural (Small town)",7,FALSE,FALSE,FALSE,187.93,73.988188976378
"158","Sophomore",0,7,"No.","Country",9.5,2,"Rural (Small town)",3,FALSE,FALSE,FALSE,172.2,67.7952755905512
"159","Junior",0,6.5,"Yes, cannabis.","Other",11.5,0,"Very Rural (Woods/Desert)",6,TRUE,FALSE,FALSE,182.88,72
"160","Senior",5,8,"Yes\, cannabis.","Electronic",6,10,"Urban/City",1,TRUE,FALSE,FALSE,152.4,60
"161","Sophomore",0,7.5,"Yes, tobacco.","Rock",6.5,0,"Rural (Small town)",7,FALSE,FALSE,FALSE,162,63.7795275590551
"162","Super Senior+",0,7,"Yes\, cannabis.,Yes\, vapes.","Hip hop",10,0,"Suburban",2,TRUE,TRUE,FALSE,172.72,68
"163","Sophomore",0,6.03,"No.","Other",7.5,4,"Suburban",5.2346,FALSE,FALSE,FALSE,160.04,63.007874015748
"164","Junior",2,5,"No.","Pop",6,11,"Urban",9,FALSE,FALSE,FALSE,160.5,63.1889763779528
"165","Sophomore",0,5.5,"Yes, cannabis.","Indie",7,5,"Rural (Small town)",6.56,TRUE,FALSE,FALSE,162.56,64
"166","Freshman",0,4,"No.","Pop",8,2,"Suburban",7,FALSE,FALSE,FALSE,169.55,66.751968503937
"167","Senior",0,6.5,"No.","Country",8,0,"Suburban",7,FALSE,FALSE,FALSE,161.925,63.75
"168","Sophomore",0,8,"No.","Hip hop",6.5,7,"Suburban",7,FALSE,FALSE,FALSE,152.4,60
"169","Junior",1,6.5,"No.","Pop",6.5,2,"Suburban",4.53,FALSE,FALSE,FALSE,164.592,64.8
"170","Junior",10,6,"Yes\, cannabis.,Yes\, vapes.","Rock",9,10,"Urban/City",0,TRUE,TRUE,FALSE,177.8,70
"171","Freshman",0,5,"No.","Classical",8.5,0,"Rural (Small town)",6,FALSE,FALSE,FALSE,161.5,63.5826771653543
"172","Sophomore",0,6,"No.","Country",10,0,"Very Rural (Woods/Desert)",3.1416,FALSE,FALSE,FALSE,172.72,68
"173","Junior",0,7,"Yes, cannabis.","Electronic",11,0,"Rural (Small town)",7,TRUE,FALSE,FALSE,182.88,72
"174","Sophomore",0,7,"No.","Pop",7,2,"Suburban",8.37,FALSE,FALSE,FALSE,165,64.9606299212598
"175","Sophomore",0,6.5,"No.","Indie",7.5,2,"Urban",8,FALSE,FALSE,FALSE,163,64.1732283464567
"176","Super Senior+",0,6,"Yes\, vapes.","Hip hop",12,0,"Suburban",6,FALSE,TRUE,FALSE,180,71
"177","Freshman",0,8,"No.","Pop",8.5,2,"Suburban",5,FALSE,FALSE,FALSE,167.64,66
"178","Freshman",0,6,"No.","Country",7.5,2,"Rural (Small town)",2,FALSE,FALSE,FALSE,167.64,66
"179","Sophomore",0,7,"No.","Electronic",7,2,"Suburban",7,FALSE,FALSE,FALSE,160,62.992125984252
"180","Senior",0,8,"No.","Hip hop",12,0,"Very rural (forest/desert)",7,FALSE,FALSE,FALSE,186,73
